neighborhood,police_force_incidents_count,median_income_total,police_incidents_count,pct_force_incidents,pct_inj_Yes,pct_inj_No,white_pct,of_color_pct
Downtown West,7680,$60.4k,12236.0,62.77%,0.4053518334985134,0.5946481665014867,60.10%,39.95%
Jordan,1428,$45.9k,3046.0,46.88%,0.5294117647058824,0.47058823529411764,17.50%,82.47%
Hawthorne,1301,$40.4k,2628.0,49.51%,0.5484558040468583,0.45154419595314166,21.80%,78.21%
Near - North,1278,$47.1k,2897.0,44.11%,0.4949186991869919,0.5050813008130082,15.40%,84.60%
Willard - Hay,985,$62.9k,2273.0,43.33%,0.5648267008985879,0.43517329910141206,27.60%,72.36%
Folwell,889,$40.9k,1950.0,45.59%,0.5788667687595712,0.4211332312404288,32.60%,67.38%
Ventura Village,797,$27.7k,2378.0,33.52%,0.5162287480680062,0.48377125193199383,25.20%,74.83%
Lowry Hill East,711,$62.0k,3219.0,22.09%,0.3940298507462687,0.6059701492537314,77.10%,22.86%
Whittier,690,$38.4k,4790.0,14.41%,0.597752808988764,0.40224719101123596,60.80%,39.16%
East Phillips,636,$nank,2092.0,30.40%,0.49676025917926564,0.5032397408207343,nan%,nan%
Marcy Holmes,590,$45.4k,3498.0,16.87%,0.5454545454545454,0.45454545454545453,76.20%,23.83%
North Loop,534,$66.4k,2261.0,23.62%,0.583916083916084,0.4160839160839161,76.30%,23.69%
Longfellow,533,$59.9k,3527.0,15.11%,0.5895316804407713,0.41046831955922863,64.50%,35.51%
Loring Park,531,$48.8k,2622.0,20.25%,0.42686567164179107,0.573134328358209,73.40%,26.55%
Midtown Phillips,496,$33.5k,2169.0,22.87%,0.530562347188264,0.46943765281173594,39.60%,60.42%
Central,490,$51.9k,2061.0,23.77%,0.5223463687150838,0.4776536312849162,43.30%,56.70%
Webber - Camden,485,$48.8k,1615.0,30.03%,0.4986149584487535,0.5013850415512465,43.90%,56.09%
Phillips West,481,$34.9k,1428.0,33.68%,0.5335120643431636,0.46648793565683644,26.30%,73.67%
